Rk,Player,Pos,G,MP,PER,TS,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,cluster
1,Steven Adams,C,58,1564,20.8,0.605,0.006999999999999999,0.413,14.4,23.8,19.3,13.5,1.6,3.5,14.1,17.2,3.7,2.5,6.2,0.19,2.1,1.1,3.2,2.0,5
2,Bam Adebayo,PF,65,2235,20.6,0.606,0.018000000000000002,0.47600000000000003,8.7,25.0,17.2,23.6,1.7,3.8,17.5,20.8,4.6,3.6,8.1,0.175,1.6,2.1,3.6,3.2,5
3,LaMarcus Aldridge,C,53,1754,19.8,0.5710000000000001,0.198,0.24100000000000002,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.6,3.1,1.4,4.4,0.122,1.8,-0.5,1.3,1.5,6
4,Nickeil Alexander-Walker,SG,41,501,7.6,0.441,0.515,0.12300000000000001,1.7,15.2,8.4,20.3,1.0,1.2,14.3,22.8,-0.7,0.4,-0.4,-0.034,-3.5,-1.4,-4.9,-0.4,1
5,Grayson Allen,SG,30,498,11.4,0.5770000000000001,0.517,0.19899999999999998,1.1,12.6,7.0,11.8,0.6,0.2,10.7,17.9,0.5,0.3,0.7,0.07,-1.0,-1.5,-2.6,-0.1,8
6,Jarrett Allen,C,64,1647,20.3,0.6579999999999999,0.012,0.574,12.5,25.0,18.9,7.8,1.1,4.3,12.2,15.0,4.3,2.8,7.1,0.207,1.0,1.1,2.1,1.7,3
10,Kyle Anderson,PF,59,1140,13.0,0.542,0.221,0.23600000000000002,5.1,18.3,11.8,15.1,1.9,2.4,15.1,13.3,0.9,1.4,2.2,0.095,-1.3,1.9,0.6,0.7,6
12,Giannis Antetokounmpo,PF,57,1763,31.6,0.608,0.23800000000000002,0.5,7.8,34.5,22.0,33.9,1.5,2.9,13.1,37.4,5.6,4.8,10.4,0.282,7.4,4.1,11.5,6.0,5
15,Carmelo Anthony,PF,50,1623,12.2,0.517,0.28600000000000003,0.19699999999999998,4.0,15.8,10.0,7.0,1.2,1.2,10.5,21.6,0.1,0.9,1.0,0.028999999999999998,-1.9,-1.8,-3.7,-0.7,2
16,OG Anunoby,SF,63,1897,13.2,0.598,0.408,0.163,4.2,14.6,9.5,7.5,2.2,2.1,11.7,14.4,1.8,3.3,5.1,0.13,-0.9,1.8,0.9,1.4,2
17,Ryan Arcidiacono,PG,58,930,9.0,0.551,0.627,0.17300000000000001,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,0.7,0.7,1.4,0.07,-2.7,-0.1,-2.8,-0.2,1
18,Trevor Ariza,SF,53,1493,11.0,0.593,0.639,0.228,2.5,15.6,9.0,8.1,2.2,0.9,13.6,11.9,1.3,1.3,2.6,0.084,-1.5,0.9,-0.5,0.6,2
19,D.J. Augustin,PG,49,1215,14.2,0.5479999999999999,0.43799999999999994,0.395,1.5,8.3,4.8,26.7,1.2,0.1,12.9,19.1,1.8,0.8,2.6,0.10099999999999999,-0.3,-1.0,-1.4,0.2,7
20,Deandre Ayton,C,30,996,20.4,0.5710000000000001,0.006,0.168,13.5,27.0,20.1,9.7,1.0,4.5,12.4,24.3,1.1,1.3,2.4,0.11699999999999999,0.8,-0.4,0.5,0.6,3
21,Dwayne Bacon,SG,39,687,6.1,0.419,0.275,0.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.5,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8,8
23,Lonzo Ball,PG,56,1817,13.7,0.529,0.578,0.107,3.6,16.6,10.1,29.3,2.0,1.4,20.7,18.6,0.7,1.9,2.6,0.068,0.4,0.6,1.0,1.3,7
24,Mo Bamba,C,60,868,17.8,0.5489999999999999,0.369,0.163,11.7,25.7,18.5,7.3,1.2,8.9,12.2,17.2,0.9,1.7,2.5,0.14,-1.1,1.7,0.5,0.6,3
25,J.J. Barea,PG,26,391,14.9,0.519,0.425,0.10099999999999999,2.7,10.0,6.4,37.7,0.5,0.4,15.8,24.3,0.5,0.2,0.7,0.084,1.8,-2.7,-1.0,0.1,4
